dataset,url,rows,topic_concentration,distinctive_terms,note
aliFurkan123/cultural-questions-dataset,https://huggingface.co/datasets/aliFurkan123/cultural-questions-dataset,500,0.5228,katının; başkenti; soracağım; kafadan; arkadaşlar; kaçtır; sayı; fazlası; matematik; sorusu,
aliFurkan123/identity,https://huggingface.co/datasets/aliFurkan123/identity,30,0.7547,furkan; trained; tuned; goal; fine; tell; created; identify; yourself; main,
Aysenur44/namaz-vakti-dua-asistan-tr,https://huggingface.co/datasets/Aysenur44/namaz-vakti-dua-asistan-tr,60,0.5888,namazı; hocam; detaylı; kılınabilir; vakti; abdest; namazlar; yatsı; bilgi; farzdır,
Aysenur44/namaz-vakti-identity-tr,https://huggingface.co/datasets/Aysenur44/namaz-vakti-identity-tr,4,1.0000,yararsın; adın; kimsin; seni; geliştirdi,
berkbirkan/turkish-x-engagement-quotes,https://huggingface.co/datasets/berkbirkan/turkish-x-engagement-quotes,1000,0.2914,içgörü; quote; özgün; alıntılarken; ekleyen; aşağıdaki; yorum; gönderisini; kısa; zeka,
berkbirkan/turkish-x-engagement-replies,https://huggingface.co/datasets/berkbirkan/turkish-x-engagement-replies,1000,0.2533,reply; aşağıdaki; doğal; bağlama; gönderisine; uygun; kısa; komik; çocukları; zeka,
berkcangumusisik/voleykoc-antrenorluk-tr,https://huggingface.co/datasets/berkcangumusisik/voleykoc-antrenorluk-tr,166,0.4858,voleybol; takımı; kadın; devamı; sormamı; antrenörüm; oyuncuya; ligi; tarihçe; bölüm,
berkcangumusisik/voleykoc-identity-tr,https://huggingface.co/datasets/berkcangumusisik/voleykoc-identity-tr,182,0.4677,pardon; soracağım; sorry; selam; curious; hello; quick; injury; merak; briefly,
cihatyldz/lojistik-soru-cevap,https://huggingface.co/datasets/cihatyldz/lojistik-soru-cevap,139,0.3589,lojistik; taşımacılığı; kargo; kurye; teslimat; racking; ticaret; nelerdir; gelir; depo,
Egertekin/marvel-domain-dataset,https://huggingface.co/datasets/Egertekin/marvel-domain-dataset,177,0.8057,örümcek; spider; adam; detaylı; marvel; comics; wolverine; bilgi; evreni; mutant,
Endezyar/siyer_datasets,https://huggingface.co/datasets/Endezyar/siyer_datasets,509,0.2409,efendimiz; müslüman; peygamberimiz; kabile; hicret; medine; kimdir; hendek; sahabi; savaşı,
enes1863/bilisim-hukuku-domain-dataset,https://huggingface.co/datasets/enes1863/bilisim-hukuku-domain-dataset,1000,0.3337,veri; kişisel; anonim; hâle; rıza; sorumlusunun; yükümlülüklerini; rızanın; çerezler; temel,
enesozdemr/benim_ilk_datasetim,https://huggingface.co/datasets/enesozdemr/benim_ilk_datasetim,113,0.9630,kokulandırılır; petrol; boru; hattı; doğal; neden; natural; kullanılır; energy,
Erenyanic/seasoned-advice-dataset,https://huggingface.co/datasets/Erenyanic/seasoned-advice-dataset,1000,0.0701,cooking; water; pişirme; some; recipe; them; different; meat; like; more,
erhanalsr/langusta-identity,https://huggingface.co/datasets/erhanalsr/langusta-identity,100,0.5632,yanıtla; cümleyle; açıkça; soruyu; cevapla; kısaca; belirt; alasar; langusta; botu,
